Title,Rating,VOD Service
Ojciec chrzestny,8.64,netflix
Hamilton,8.61,disney
Ojciec chrzestny II,8.46,netflix
Władca Pierścieni: Powrót króla,8.38,hbo_max
David Attenborough: Życie na naszej planecie,8.36,netflix
Władca Pierścieni: Dwie wieże,8.31,hbo_max
Joker,8.3,hbo_max
Cud w celi nr 7,8.28,netflix
Podziemny krąg,8.28,hbo_max
Coco,8.28,disney
Pianista,8.27,canal_plus_manual
Django,8.26,netflix
Incepcja,8.25,netflix
Człowiek z blizną,8.25,netflix
Król Lew,8.25,disney
Dawno temu w Ameryce,8.18,netflix
Wyspa tajemnic,8.18,hbo_max
Ojciec,8.14,netflix
Klaus,8.13,netflix
Avengers: Wojna bez granic,8.12,disney
Braveheart - Waleczne Serce,8.12,disney
Szeregowiec Ryan,8.1,hbo_max
Gorączka,8.1,hbo_max
Gwiezdne wojny: Część V - Imperium kontratakuje,8.09,disney
Gwiezdne wojny: Część VI - Powrót Jedi,8.08,disney
Służące,8.07,disney
Spider-Man Uniwersum,8.05,disney
Aida,8.03,hbo_max
Avengers: Koniec gry,8.03,disney
Mroczny Rycerz,8.02,hbo_max
Wściekłe psy,7.95,canal_plus_manual
Bohemian Rhapsody,7.91,canal_plus_manual
Zaginiona dziewczyna,7.78,canal_plus_manual
Rocky,7.74,canal_plus_manual
Kiler,7.73,canal_plus_manual
Boże Ciało,7.7,canal_plus_manual
Chce się żyć,7.69,canal_plus_manual
Alpinista,7.69,canal_plus_manual
